,REAL,Brute Force,Genetic Algorithm,Fmin,GA + Fmin
Total Delta-V (km/s),10.31241583834745,9.411191461145675,9.388030185988406,9.388030073904538,9.388030091056574
Injection Delta-V (km/s),10.303632164583048,9.40484890472681,9.388030110672208,9.388030073866002,9.388030091056478
Jupiter Flyby Delta-V (km/s),0.008783673764401811,0.006342556418864831,7.531619772294107e-08,3.8536285273949034e-11,9.592326932761353e-14
Total Fuel Mass (kg),1139.0,1071.7476431066705,1069.9564284063217,1069.9564197303307,1069.9564210580056
TOF (days),1161.6097222222015,1519.1607426303601,1532.6211132076787,1532.6188724847307,1532.6210550000687
Departure Change (days),-0.0,-7.448979591834359,-6.009150279365713,-6.011397577414755,-6.011332778332871
Jupiter Flyby Change (days),-0.0,156.42857142857247,161.94997212098679,161.94975781187532,161.94977373984875
Saturn Flyby Change (days),-0.0,350.102040816324,364.99999998316343,364.99999340806244,364.99999999953434
Execution Time (s),,412.9017639160156,363.45399713516235,1.42417311668396,1.7022368907928467
